City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,quepos,9.4236,-84.1652,26.30000000000001,76,21,1.0,CR,1709514668
114,vilyuysk,63.7553,121.6247,-17.21999999999997,97,100,2.24,RU,1709514668
115,saldanha,-33.0117,17.9442,17.180000000000007,96,56,6.47,ZA,1709514669
116,coquimbo,-29.9533,-71.3436,18.30000000000001,83,100,1.37,CL,1709514589
117,krasnogorskiy,54.6025,61.231,-3.7299999999999613,89,100,3.81,RU,1709514669
118,katsuura,35.1333,140.3,11.860000000000014,57,2,11.09,JP,1709514669
119,lampasas,31.2168,-98.2336,23.49000000000001,64,0,3.6,US,1709514449
120,mohale's hoek,-30.1514,27.4769,19.28000000000003,52,94,2.85,LS,1709514670
121,olyokminsk,60.3736,120.4264,-14.069999999999993,91,100,3.01,RU,1709514670
122,dryden,49.7833,-92.7503,-5.839999999999975,93,100,8.23,CA,1709514671
123,escarcega,18.6089,-90.7454,28.200000000000045,53,24,1.87,MX,1709514671
124,kavaratti,10.5669,72.642,27.890000000000043,72,56,4.38,IN,1709514671
125,castillos,-34.1667,-53.8333,15.270000000000039,62,100,2.38,UY,1709514672
126,bel ombre,-4.6167,55.4167,28.629999999999995,70,14,3.5,SC,1709514672
127,sao paulo de olivenca,-3.3783,-68.8725,22.890000000000043,94,44,0.91,BR,1709514672
128,boromo,11.75,-2.9333,31.78000000000003,44,99,2.32,BF,1709514672
129,antsiranana,-12.2787,49.2917,23.650000000000034,92,100,0.78,MG,1709514672
130,vilyuchinsk,52.9306,158.4028,-0.8499999999999659,65,100,5.54,RU,1709514673
131,le port,-20.9373,55.2919,26.0,81,100,4.17,RE,1709514673
132,gaalkacyo,6.7697,47.4308,23.970000000000027,88,100,6.35,SO,1709514673
133,whitehorse,60.7161,-135.0538,-15.549999999999955,46,21,1.34,CA,1709514673
134,mount isa,-20.7333,139.5,32.870000000000005,49,11,3.6,AU,1709514673
135,egilsstadir,65.2653,-14.3948,2.0600000000000023,99,100,3.35,IS,1709514674
136,toliara,-23.35,43.6667,25.610000000000014,71,70,1.59,MG,1709514674
137,qaqortoq,60.7167,-46.0333,-15.019999999999982,66,99,5.94,GL,1709514676
138,berd,40.8815,45.3899,1.5200000000000387,81,100,0.53,AM,1709514676
139,paradip garh,20.3167,86.6167,24.04000000000002,81,100,1.7,IN,1709514676
140,okhotsk,59.3833,143.3,-10.289999999999964,90,99,3.75,RU,1709514677
141,port alberni,49.2413,-124.8028,5.520000000000039,85,97,1.79,CA,1709514677
142,quellon,-43.1167,-73.6167,10.050000000000011,84,6,4.13,CL,1709514677
143,vrangel',42.7297,133.0839,-3.609999999999957,42,0,7.44,RU,1709514679
144,isafjordur,66.0755,-23.124,-3.4899999999999523,61,100,1.78,IS,1709514681
145,kodiak,57.79,-152.4072,-0.2699999999999818,80,100,1.54,US,1709514681
146,stephenville,32.2207,-98.2023,24.07000000000005,54,0,3.6,US,1709514683
147,arkhangel'sk,64.5401,40.5433,0.07000000000005002,100,100,6.0,RU,1709514684
148,talcahuano,-36.7167,-73.1167,14.730000000000018,68,0,5.13,CL,1709514684
149,manakara,-22.1333,48.0167,23.730000000000018,89,100,1.66,MG,1709514684
150,kristiansund,63.1115,7.732,11.360000000000014,54,100,5.66,NO,1709514685
151,esquel,-42.9,-71.3167,10.850000000000023,77,0,2.49,AR,1709514568
152,san antonio de pale,-1.4014,5.6325,28.32000000000005,78,100,1.4,GQ,1709514685
153,paris,48.8534,2.3488,4.520000000000039,89,0,3.09,FR,1709514662
154,brattleboro,42.8509,-72.5579,9.610000000000014,83,15,0.89,US,1709514686
155,lompoc,34.6391,-120.4579,15.560000000000002,65,40,4.63,US,1709514686
156,chonchi,-42.6128,-73.8092,11.730000000000018,86,7,1.6,CL,1709514687
157,qamdo,31.1667,97.2333,-4.7999999999999545,57,2,2.58,CN,1709514687
158,rio preto da eva,-2.6994,-59.6997,23.840000000000032,97,100,0.54,BR,1709514687
159,vorgashor,67.5833,63.95,-26.819999999999965,100,100,2.72,RU,1709514687
160,peace river,56.2501,-117.286,-18.20999999999998,85,100,5.2,CA,1709514587
161,ust-nera,64.5667,143.2,-18.769999999999982,94,99,1.68,RU,1709514688
162,hilo,19.7297,-155.09,21.450000000000045,99,100,4.12,US,1709514688
